汙,1
中著衣,1
乘,77
器,177
顯露,2
有,2148
建立,9
大衣,26
大車,1
行化,2
供養,132
露地,34
總相,1
白衣,111
戒壇,3
威德,1
戒場,52
別依,1
善根,13
長衣,41
重翻,1
二字,2
華嚴經,1
戒德,9
大身,1
戒律,15
戒心,4
結使,3
觀佛,2
夢虎,1
善知識,1
金剛界,1
死屍,6
戒師,22
九漏,1
實者,6
長跪,3
如空,1
二師,18
瓔珞,5
小便,37
道俗,36
道中,11
二往,3
說道,1
小乘,11
道一,2
善法,34
二心,7
道人,11
九流,2
通達,1
不空,2
隨一,12
罽膩吒王,1
密藏,1
道具,1
不斷,13
糞掃衣,9
差別,22
坐具,40
諸法實相,1
六度,1
十輪經,3
福德,10
天魔,3
我見,2
界內,76
小僧,1
惡念,1
夏臘,1
坊,25
長鉢,2
六念,6
無常,16
優波離,3
如是,251
道化,1
外護,2
取,520
界分,6
天食,1
性重戒,1
周那,1
二種羯磨,1
伽藍神,1
即離,1
法律經,1
內心,9
九瘡,1
齋法,3
如意,4
通論,1
門,219
提舍尼,11
天龍,6
即非,4
內庫,1
無始,5
九眾,1
道品,1
通覆,1
惡報,1
六塵,5
大菩薩,2
福報,3
六方禮,1
六大,2
大門,4
無學,7
行人,11
通行,4
隨意,35
無安,1
行乞,3
初禪,1
無實,1
舍衛城,1
行一,7
別受,4
取與,7
不淨,140
真諦,2
八師,1
我聞,2
如法,158
我者,3
坐夏,1
滅羯磨,1
道場,2
勝鬘經,1
船師,1
萬法,1
界如,1
師教,3
壞法,5
道士,1
大魚,1
界外,51
沙彌尼,24
天道,2
六味,1
犍稚,8
如,1690
六和,3
識外道,1
念戒,1
內凡,3
髮塔,1
長養,5
道安,4
善神,4
地持論,1
大願,2
真要,2
兜率天,2
罣礙,1
長食,1
無垢,1
妙,14
別報,1
體露,1
魚,8
無價,2
國王,11
福分,3
優波陀,1
我所心,7
惡口,5
依通,1
齋日,2
六受,2
如是作,3
盲,14
取著,3
現相,4
道德,2
瞻波,1
二三,34
二世,1
五位,2
二乘,9
說聽,1
死人衣,2
尊像,2
禮拜,31
六入,4
通肩,3
不惜身命,1
蟻,9
諷誦,1
六凡,1
共相,11
即,388
萬善,2
嚏,1
道意,3
不善,33
無求,3
波羅夷,57
心受,8
齋經,1
安隱,12
燒香,9
別教,1
結戒,22
二犯,11
多障,1
三身,4
藥食,3
身見,1
十行,1
六法,6
六波,1
念定,1
身行,8
道戒,1
二王,1
無漏,6
八支,1
得定,4
有主物,2
深行,1
八敬,3
順流,1
沙彌戒,9
僧若,4
無根,7
十身,1
道教,1
恭敬,40
五體,1
八戒,21
跋摩,3
野,26
罽賓,1
阿若,1
六欲,1
戒相,27
行籌,13
十輪,11
宗體,2
難思,1
趺坐,6
道服,1
戒疏,3
吒王,1
死相,1
二相,3
五食,2
二益,1
現世,3
俗流,1
道果,3
著,449
恒沙,1
惡業,15
無欲,4
萬劫,1
不動,11
燈籠,1
念念,2
福業,1
名,651
師子,13
二眾,33
內法,3
度,118
阿耨,1
序,19
血,12
作禮,15
禁戒,13
道業,12
尚闍梨,18
念僧,1
形像,13
福智,2
遮罪,3
五陰,1
號,22
明達,1
剃刀,7
二福,1
惱,79
聲聞僧,2
無方,7
身苦,1
義通,10
二礙,1
諂,7
惡果,1
女人,70
無明,4
戒禁,1
眾,820
八法,9
結業,1
八水,1
寶,208
小機,1
僧跋,3
世間,16
四等,5
達池,1
鉢多羅,2
六方,2
須菩提,1
七羯磨,2
然燈,7
無性,2
善來,4
師僧,12
作佛事,1
剋終,1
行用,3
無想,3
淨行者,1
十號,1
根門,1
引導,5
萬境,2
無愧,2
道水,1
善人,2
無愛,1
別業,1
死緣,1
內明,1
無慚,15
僧護,5
威神,1
重如,2
小法,4
八支齋,1
截頭,1
八正,5
證得,1
道法,7
譏嫌戒,3
五邪,2
戒經,4
無我,13
無戒,23
惡性,2
不害,2
深藏,1
優婆塞,24
五通,1
五逆,4
惡律儀,8
萬字,1
五道,1
舍婆提,1
二義,3
優婆夷,3
行相,5
佛出世,4
伽梨,41
幡,14
如實,5
師匠,2
五身,2
釋名,5
善友,2
二惡,3
現報,1
已生,1
等正覺,5
行業,3
擯出,5
內空,1
阿難,22
奴婢,13
一切處,1
五輪,1
一切世間,1
善利,2
二愚,1
無緣,29
初心,1
五轉,2
憍慢,7
根識,1
九僧,1
遮斷,1
空行,1
二戒,14
別相,9
小王,1
僧事,46
無上道,1
別眾,74
十業道,1
好照,1
惡緣,4
二持,6
唯,187
觸,164
明證,1
引接,3
五說,3
世論,4
可中,1
小界,29
無量壽,1
玄綱,1
憶念,14
世語,1
多聞,14
戒本,45
威怒,1
二斷,1
行法,34
無礙,2
善因,1
麈尾,1
道力,2
玄籍,1
思量,4
五識,1
風刀,1
摩那埵,32
二教,11
情有,1
樂,139
九品,3
齋主,1
臥,127
宗要,2
得戒沙彌,1
二明,95
十住論,2
結界,30
五衰,1
學戒,9
五衣,5
二時,7
五行,1
行滿,1
摩訶羅,3
遮惡,4
五見,2
二果,2
漉水囊,2
善哉,6
遊化,1
無心,32
應法沙彌,1
餓鬼,8
專精,1
遮性,3
愛憎,3
坐禪,23
多貪,4
難經,1
國土,6
二根,4
木叉,13
觀門,1
阿鼻,10
四種人,2
藥草,6
初地,1
六眾,2
無生,2
八不淨,6
欄楯,1
無畏,6
粟散,1
九孔,1
安心,2
無疑,7
念法,14
僧齋,2
部多,2
愛恚,2
行思,1
不信,19
安陀會,14
具足,57
內煮,12
二檀,2
喜見,3
現前,48
孔雀,2
五蓋,1
行捨,1
僧伽藍,13
解脫知見,1
無盡,8
無相,7
神變,1
施食,4
五藏,1
如來,64
謦咳,2
生,768
無知,37
福田,16
安詳,2
揣食,1
軟語,3
善心,21
五苦,1
六物,7
無為,5
昏俗,1
空處,7
行教,3
報得,1
五色,2
二求,1
愛敬,2
神足,3
八篇,1
直道,1
燈明,2
口業,8
深防,4
死海,2
欣,3
僧鬘,1
多論,111
愛染,3
二滅,1
無量劫,1
行果,2
界繫,1
長衣過限戒,1
戒海,1
大寶積經,1
明處,2
十門,7
現在,18
最後,5
戒法,35
撿挍,6
僧伽胝,1
五向,1
知,862
出期,6
淨心,8
涅槃,93
入眾,13
尸陀,1
三師,5
命根,3
三心,7
經法,6
丈夫,7
三從,2
受隨,9
命梵,22
大乘經,1
過度,1
邊地,6
百眾學,1
一根,1
聽眾,2
良福田,1
相,986
勝義,2
智藏,1
虛空,6
舍勒,1
一極,1
舍利,26
長鉢過限戒,1
形色,2
突吉羅,48
淨屋,6
生報,4
律懺,2
假名,5
聲處,1
攝食界,1
那律,1
一滅,1
仙人,4
百緣經,1
三寶,74
解脫道,5
三子,1
鉢支,3
周羅髮,1
三學,2
內外道,2
云云,15
淨妙,1
勝因,1
東流,3
三境,2
三塗,3
淨天,1
一法,27
三報,2
智者,10
出息,6
靜思,1
貝,6
禿,4
界,711
善生,31
三契,1
三多,4
勤行,3
三天,2
三大,6
聲論,6
招提,6
一成,2
三因,2
遊行,9
罪福無主,1
修多羅,1
經文,2
淨地,53
受齋,2
律海,1
有學,1
經教,2
淨土,2
文理,1
一持,2
律法,3
果人,1
擁護,1
丈六,3
曇無德,1
入室,1
波羅逸尼柯,1
突瑟几理多,1
給孤,1
阿耨達池,1
頌,2
付財,1
得脫,6
經架,1
三和,2
那先,1
貧道,1
因蘭,1
作善,5
三觀,1
三周,4
積聚,3
讚歎,20
三善,6
讚,54
獨秉,2
淨名,1
淨命,2
一明,11
鈔,36
一時,51
生死海,2
不淨施,3
有待,2
生死流,1
數人,5
過去,11
一會,1
三受,10
一期,6
三句,18
勤苦,1
入空,1
三千,30
維口食,1
三匝,3
淨剎,3
開解,7
喜受,1
掉,3
護淨經,1
資糧,1
智行,1
覆藏他重罪戒,1
藏教,1
盧舍,9
那含,2
形身,1
仁,1
四邪命,1
明了論,61
資緣,1
三光,1
六方禮經,1
雜含,18
有對,1
一日,60
經戒,1
命,151
三五,13
二種常住,1
淨信,1
三乘,11
轉,144
三世,21
斷善根,1
兩舌,7
淨人,159
五納衣,3
三修,2
究竟,13
一等,3
淨主,7
三佛,3
禮敬,8
尼衣,4
散,43
淫欲,7
出生,1
書,26
律相,1
槃那寐,1
藏,215
十二因緣,2
俱舍,3
果名,2
迦師,1
勝業,3
蓋,32
摩觸戒,2
世間法,1
父母恩,1
醉婆羅門,1
自然界,22
有緣,41
解脫門,2
葬法,2
善戒經,1
果分,1
轉輪,5
藏經,1
鉢盂,9
制門,3
鉢他,9
違順,1
乃至,379
空無我,2
文殊,1
開遮,2
受者,72
一緣,3
執著,1
獲,9
眾務,2
悔過,10
宗,43
入滅,4
度生,1
求寂,1
漏,42
人,2449
緣法,2
斷食,4
獨柯多,2
微,24
男根,5
眾僧,104
異人,1
自然外道,1
得通,6
得道,11
三藏教,1
觀佛三昧,1
非時漿,5
偷蘭遮,17
一燈,1
胸行,1
律禪,1
願,101
賢聖,10
有作,10
一盲,1
一相,4
一真,1
四天下,3
有事,6
有解,3
大乘戒,1
臨終,10
四月八日,2
廁,16
一界,14
受衣,24
選擇,4
三聚戒,2
賢,25
果報,19
頭陀,32
彌勒,6
多羅樹,1
虛妄,5
人身,11
人界,1
對法,9
斷惑,1
結夏,2
淨經,1
闇心,1
難,350
八萬四千,1
諸行,9
異相,2
有無,41
三緣,11
三經,1
殘果,1
有為,4
三結,1
優填,1
毫相,1
淨籌,1
一一,107
一中,4
計,37
一九,1
句,142
闡提,1
染衣,13
俱夜羅,2
有分別,1
三節,3
有相,5
一佛,5
佉陀食,1
三等,1
勝士,1
轉輪聖王,2
式叉尼,5
釋迦牟尼,1
展轉,41
邏,3
人見,12
慚,39
眼根,1
有界,6
酥,3
眾法,30
畢陵伽,3
未曾有,1
果相,2
三福,1
林葬,1
文字,2
分別智,3
攝論,4
佛,921
一字,5
三相,7
入心,1
綺語,5
無盡財,4
諸色,1
證,66
染著,3
無常想,1
輕觸,1
無倒,2
出世,13
有空,1
異緣,3
遍照,1
迦提,8
精神,1
不見舉,3
邊罪,11
解釋,3
四真諦,1
真諦三藏,1
男女,20
三界,9
悲,36
三田,1
入寺,21
歡喜丸,1
時衣,3
入定,7
解脫服,1
第三分,2
殺生,13
作犯,24
慢,54
舍羅,4
有結,1
十善戒,1
染色,4
讚佛,1
文句,6
說淨,82
斷滅,3
入塔,7
自恣五德,1
